#taxid	count	name
6596	2	"Mercenaria mercenaria"
167735	1	"Triteleia laxa"
653684	1	"Melanostoma mellinum"
1266882	1	"Symphurus diomedeanus"
586382	1	"Linum lewisii"
121826	1	"Trioza urticae"
4480	12750	"Aegilops"
37682	16	"Aegilops tauschii"
33548	1	"Colobus guereza"
481883	1	"Eublepharis macularius"
913645	1	"Enchytraeus crypticus"
211939	1	"Cynosurus cristatus"
129554	1	"Anticarsia gemmatalis"
466241	1	"Pimelodus maculatus"
435792	16	"Leymus innovatus"
83309	2	"Oryza longiglumis"
109271	1	"Osteoglossum bicirrhosum"
256650	1	"Tetropium fuscum"
3504	1	"Betula"
150705	1	"Dendropsophus ebraccatus"
1288821	5	"Hordeum vulgare var. distichon"
669625	1	"Anthoxanthum nipponicum"
95912	1	"Hyaena hyaena"
1351675	1	"Prunella strophiata"
2509291	2	"Gryllus longicercus"
89055	1	"Thermobia domestica"
4529	1	"Oryza rufipogon"
41241	1	"Rumex acetosa"
452569	1	"Eucalyptus cladocalyx"
478132	1	"Empoasca decipiens"
3078114	2	"Neoaves"
252671	1	"Clytia hemisphaerica"
2788	1	"Pyropia yezoensis"
29695	2	"Phragmites australis"
88544	1	"Halictini"
8905	1	"Podargus strigoides"
8018	1	"Oncorhynchus keta"
76502	1	"Schoenoplectus lacustris"
126483	1	"Rhabdophis nuchalis"
49168	1	"Rhododendron molle"
9721	1	"Cetacea"
4491	9958	"Aegilops umbellulata"
3043723	1	"Paralinhomoeus sp. GSCO2_6"
500645	1	"Tetragnatha montana"
3749	2	"Malus"
213494	1	"Gryllotalpa orientalis"
2492375	1	"Omphaloscelis lunosa"
27406	2	"Cherax quadricarinatus"
99437	1	"Lumnitzera littorea"
670423	1	"Lucifuga dentata"
119999	1	"Chionographis japonica"
395293	2	"Festuca brachyphylla"
104005	5	"Melocanna baccifera"
357811	1	"Apogon imberbis"
934945	1	"Lampropteryx suffumata"
338152	1	"Felinae"
321803	1	"Nemopilema nomurai"
264074	1	"Cladonema radiatum"
100952	1	"Cottus gobio"
2763534	1	"Carex subgen. Vignea"
6072	2	"Eumetazoa"
2592077	70	"Hierochloe odorata"
1157628	2	"Cricetomys ansorgei"
55521	2	"Rapana venosa"
278673	1	"Petasites hybridus"
751630	1	"Ctenium cirrosum"
140453	1	"Beroe forskalii"
1853061	1	"Pyrocephalus nanus"
3728	1	"Sinapis alba"
216990	1	"Betula nana"
29668	1	"Calamagrostis epigejos"
41426	1	"Phacochoerus africanus"
155299	1	"Litsea cubeba"
8481	1	"Graptemys geographica"
1564611	1	"Felimare picta"
8842	1	"Anser"
4101	1	"Petunia"
591218	3	"Indocalamus tessellatus"
4587	33	"Thinopyrum"
1101029	1	"Pandemis corylana"
34773	1	"Alosa sapidissima"
29965	1	"Metacarcinus magister"
9514	1	"Cebus albifrons"
330961	2	"Pardosa pseudoannulata"
3860	1	"Lathyrus sativus"
57932	1	"Comarum palustre"
8351	1	"Discoglossus pictus"
911341	1	"Heliantheae alliance"
5595	1	"Microascus cirrosus"
1132040	1	"Agriotes mancus"
312270	1	"Drosophila pruinosa"
42415	1	"Sigmodon hispidus"
3410118	1	"Phocinae"
52159	3	"Poa pratensis subsp. angustifolia"
376129	1	"Milium effusum"
165200	1	"Actinidia eriantha"
8096	2	"Myoxocephalus aenaeus"
8996	1	"Numida meleagris"
365054	1	"Ilisha elongata"
129741	24	"Elymus caninus"
263547	1	"Schizothorax macropogon"
147366	5	"Bambusoideae"
166261	1	"Centroberyx affinis"
1115630	1	"Brachymystax lenok tsinlingensis"
42163	1	"Podarcis"
2505931	1	"Margaritifera margaritifera"
1648000	3	"Anthoxanthinae"
1069815	1	"Sinanodonta woodiana"
2948967	1	"Ventenatinae"
121769	2	"Digitaria sanguinalis"
85679	1	"Thinopyrum intermedium"
215426	1	"Lycodes diapterus"
52709	13	"Elymus trachycaulus"
4509	15	"Dactylis glomerata"
585813	3	"Iris foetidissima"
6446	1	"Sipunculus nudus"
181461	1	"Caranx melampygus"
